hero_1,hero_2,games,winrate
2,17,1145,0.4410480349344978
2,27,2775,0.5207207207207207
2,41,1495,0.5317725752508361
2,88,970,0.5618556701030928
17,27,1315,0.4752851711026616
17,41,700,0.4857142857142857
17,88,555,0.5945945945945946
27,41,1640,0.5304878048780488
27,88,820,0.573170731707317
41,88,685,0.5036496350364964
8,30,2450,0.5163265306122449
8,40,2725,0.4954128440366973
8,42,1435,0.5470383275261324
8,59,880,0.48295454545454547
30,40,1820,0.5247252747252747
30,42,3050,0.5622950819672131
30,59,1150,0.45217391304347826
40,59,1180,0.5211864406779662
42,59,930,0.5376344086021505
8,14,3595,0.47983310152990266
8,47,965,0.46113989637305697
8,53,1060,0.4481132075471698
14,30,3865,0.4851228978007762
14,47,2440,0.5122950819672131
14,53,1715,0.46355685131195334
30,47,1410,0.4326241134751773
30,53,1050,0.44761904761904764
47,53,565,0.3893805309734513
2,6,2050,0.5073170731707317
2,22,2385,0.5157232704402516
2,84,2305,0.5227765726681128
6,22,1710,0.5614035087719298
6,26,3150,0.5031746031746032
6,84,2380,0.49789915966386555
22,26,3010,0.49667774086378735
26,84,3175,0.462992125984252
7,15,780,0.46794871794871795
7,27,1725,0.4927536231884058
7,44,1170,0.49145299145299143
7,84,1715,0.5801749271137027
15,27,1410,0.5354609929078015
15,44,680,0.4338235294117647
15,84,1505,0.5049833887043189
27,44,1560,0.48717948717948717
27,84,1965,0.5267175572519084
44,84,1875,0.49066666666666664
14,36,3905,0.5236875800256082
14,93,5205,0.5283381364073007
14,104,4730,0.4989429175475687
36,86,2715,0.5377532228360957
36,93,2545,0.5579567779960707
86,93,3875,0.5174193548387097
86,104,3725,0.5020134228187919
93,104,2845,0.5430579964850615
14,60,1930,0.533678756476684
14,62,1140,0.4649122807017544
14,72,1055,0.44075829383886256
60,62,515,0.5145631067961165
60,72,300,0.48333333333333334
60,93,1395,0.5053763440860215
62,72,120,0.5
62,93,750,0.46
72,93,355,0.5070422535211268
39,53,885,0.3502824858757062
39,97,1335,0.48314606741573035
39,99,1410,0.4574468085106383
39,100,1015,0.5073891625615764
53,97,595,0.31932773109243695
53,100,390,0.47435897435897434
97,99,500,0.5
99,100,480,0.4479166666666667
13,86,1000,0.49
13,94,245,0.5510204081632653
13,97,610,0.4180327868852459
13,120,190,0.47368421052631576
86,94,1100,0.4863636363636364
86,120,1350,0.5444444444444444
94,97,485,0.5567010309278351
94,120,390,0.5
97,120,475,0.4421052631578947
2,5,1855,0.568733153638814
2,35,3415,0.5007320644216691
2,40,3080,0.5048701298701299
4,35,905,0.5082872928176796
4,40,935,0.5294117647058824
5,40,1380,0.4963768115942029
30,39,2390,0.4916317991631799
30,41,1835,0.5040871934604905
30,79,245,0.5714285714285714
39,42,2700,0.5314814814814814
39,79,485,0.4948453608247423
41,42,1025,0.5658536585365853
41,79,260,0.4807692307692308
42,79,505,0.504950495049505
32,36,655,0.6030534351145038
32,84,925,0.5567567567567567
32,93,570,0.5350877192982456
32,110,315,0.5873015873015873
36,84,2210,0.5542986425339367
84,110,775,0.535483870967742
93,110,1180,0.5550847457627118
28,86,1795,0.5459610027855153
28,100,570,0.5
28,119,430,0.46511627906976744
41,86,2070,0.5193236714975845
41,100,570,0.43859649122807015
41,119,405,0.49382716049382713
86,100,1050,0.4857142857142857
100,119,195,0.41025641025641024
15,22,1165,0.5579399141630901
15,26,2075,0.4891566265060241
15,155,220,0.4772727272727273
22,54,2900,0.5586206896551724
22,155,345,0.4492753623188406
26,155,665,0.43609022556390975
54,155,405,0.5061728395061729
27,32,735,0.6054421768707483
27,49,940,0.526595744680851
27,52,790,0.4810126582278481
32,49,250,0.56
32,52,245,0.46938775510204084
49,52,290,0.4827586206896552
49,84,1085,0.511520737327189
52,84,860,0.46511627906976744
4,36,525,0.5238095238095238
4,37,565,0.49557522123893805
4,60,330,0.4696969696969697
35,36,2095,0.5369928400954654
35,37,1950,0.5153846153846153
35,60,1605,0.5514018691588785
36,37,1390,0.5215827338129496
36,60,760,0.5657894736842105
37,60,840,0.44642857142857145
29,40,3275,0.517557251908397
29,93,2845,0.5975395430579965
29,104,600,0.5083333333333333
40,75,1785,0.5014005602240896
40,93,3725,0.5194630872483221
40,104,3215,0.5147744945567652
75,93,2170,0.5483870967741935
75,104,2030,0.5541871921182266
10,22,810,0.4691358024691358
10,36,755,0.5695364238410596
10,99,440,0.4772727272727273
10,126,430,0.5581395348837209
22,99,1445,0.4982698961937716
36,99,945,0.5502645502645502
99,126,535,0.5327102803738317
30,44,1500,0.43333333333333335
30,60,1425,0.5228070175438596
30,61,630,0.48412698412698413
44,60,710,0.4647887323943662
44,61,300,0.43333333333333335
44,79,235,0.5531914893617021
60,61,220,0.5
60,79,210,0.5952380952380952
61,79,95,0.631578947368421
12,46,220,0.38636363636363635
12,104,1400,0.5035714285714286
12,123,680,0.5367647058823529
46,75,660,0.45454545454545453
46,123,720,0.4722222222222222
75,123,560,0.5267857142857143
104,123,1780,0.5168539325842697
5,12,780,0.5448717948717948
5,69,1665,0.5675675675675675
5,74,1835,0.4659400544959128
5,87,355,0.39436619718309857
12,69,840,0.5297619047619048
12,74,1540,0.5032467532467533
12,87,465,0.6129032258064516
69,74,2370,0.47257383966244726
69,87,1240,0.5161290322580645
74,87,1200,0.45416666666666666
17,36,520,0.5096153846153846
17,71,1920,0.4895833333333333
17,93,1255,0.5179282868525896
36,71,3285,0.5312024353120244
36,123,1220,0.5655737704918032
71,93,4610,0.5303687635574837
71,123,1565,0.46325878594249204
93,123,1450,0.503448275862069
35,64,2255,0.4700665188470067
35,110,1135,0.5374449339207048
36,64,1560,0.47115384615384615
64,104,1990,0.5100502512562815
64,110,570,0.5
104,110,1025,0.5951219512195122
7,12,1095,0.5570776255707762
7,17,825,0.45454545454545453
7,26,2780,0.5017985611510791
12,17,500,0.56
12,26,2035,0.5208845208845209
12,40,1395,0.4659498207885305
17,40,1665,0.44744744744744747
26,40,3780,0.4470899470899471
10,29,690,0.45652173913043476
10,30,955,0.4816753926701571
22,30,2025,0.5037037037037037
29,30,2625,0.5352380952380953
29,126,990,0.5151515151515151
30,126,1190,0.5252100840336135
6,7,1660,0.4759036144578313
6,27,2115,0.5177304964539007
6,42,1325,0.5471698113207547
7,42,1520,0.5789473684210527
14,27,3965,0.5233291298865069
14,42,4545,0.5511551155115512
27,42,2665,0.5215759849906192
7,35,2355,0.5583864118895966
7,79,295,0.423728813559322
7,109,290,0.46551724137931033
35,44,1795,0.42618384401114207
35,79,500,0.37
35,109,490,0.4489795918367347
44,109,75,0.5333333333333333
79,109,100,0.55
8,25,1725,0.45217391304347826
8,123,1070,0.5233644859813084
11,25,1110,0.43243243243243246
11,123,1310,0.46946564885496184
25,123,1285,0.5252918287937743
26,123,1450,0.4862068965517241
38,67,675,0.4962962962962963
38,86,2010,0.5199004975124378
38,97,715,0.5384615384615384
38,129,625,0.52
67,86,2040,0.5490196078431373
67,97,910,0.46703296703296704
67,129,650,0.49230769230769234
86,129,1880,0.48404255319148937
97,129,490,0.37755102040816324
2,93,2695,0.5454545454545454
26,88,1395,0.5304659498207885
26,93,4975,0.5085427135678392
35,88,1430,0.541958041958042
35,93,3070,0.5244299674267101
88,93,1455,0.5395189003436426
26,28,2445,0.49284253578732107
26,41,2655,0.5065913370998116
26,62,1090,0.5458715596330275
28,62,400,0.475
28,110,490,0.5612244897959183
41,62,445,0.449438202247191
41,110,790,0.5253164556962026
62,110,315,0.42857142857142855
5,17,1095,0.4931506849315068
5,34,425,0.4470588235294118
5,38,985,0.49746192893401014
17,34,65,0.38461538461538464
17,38,555,0.40540540540540543
34,38,350,0.37142857142857144
34,40,715,0.3776223776223776
38,40,1855,0.477088948787062
11,14,4035,0.48946716232961585
11,30,2275,0.4593406593406593
11,42,1825,0.5342465753424658
11,83,430,0.5
14,83,555,0.5135135135135135
30,83,290,0.5
42,83,430,0.5813953488372093
2,31,2005,0.5311720698254364
2,48,1180,0.5169491525423728
2,52,690,0.5289855072463768
31,48,1040,0.5288461538461539
31,52,830,0.536144578313253
31,88,590,0.4576271186440678
48,52,355,0.4225352112676056
48,88,655,0.5572519083969466
52,88,350,0.5428571428571428
26,71,5415,0.47183748845798706
26,90,1040,0.4807692307692308
61,71,910,0.510989010989011
61,74,540,0.48148148148148145
61,90,130,0.46153846153846156
